States,Regions,latitude,longitude,Dates,Usage
J&K,NR,33.45,76.24,12/01/2019 00:00:00,34.6
Chandigarh,NR,30.71999697,76.78000565,12/01/2019 00:00:00,4.0
Chhattisgarh,WR,22.09042035,82.15998734,12/01/2019 00:00:00,85.2
Gujarat,WR,22.2587,71.1924,12/01/2019 00:00:00,294.1
MP,WR,21.30039105,76.13001949,12/01/2019 00:00:00,161.1
Maharashtra,WR,19.25023195,73.16017493,12/01/2019 00:00:00,421.8
Goa,WR,15.491997,73.81800065,12/01/2019 00:00:00,12.2
DNH,WR,20.26657819,73.0166178,12/01/2019 00:00:00,17.6
Andhra Pradesh,SR,14.7504291,78.57002559,12/01/2019 00:00:00,168.1
Telangana,SR,18.1124,79.0193,12/01/2019 00:00:00,173.2
Karnataka,SR,12.57038129,76.91999711,12/01/2019 00:00:00,163.5
Kerala,SR,8.900372741,76.56999263,12/01/2019 00:00:00,69.9
Tamil Nadu,SR,12.92038576,79.15004187,12/01/2019 00:00:00,298.4
Pondy,SR,11.93499371,79.83000037,12/01/2019 00:00:00,8.0
Bihar,ER,25.78541445,87.4799727,12/01/2019 00:00:00,82.3
Jharkhand,ER,23.80039349,86.41998572,12/01/2019 00:00:00,24.3
Odisha,ER,19.82042971,85.90001746,12/01/2019 00:00:00,82.4
West Bengal,ER,22.58039044,88.32994665,12/01/2019 00:00:00,154.7
Sikkim,ER,27.3333303,88.6166475,12/01/2019 00:00:00,1.0
Arunachal Pradesh,NER,27.10039878,93.61660071,12/01/2019 00:00:00,2.1
Assam,NER,26.7499809,94.21666744,12/01/2019 00:00:00,30.1
Manipur,NER,24.79997072,93.95001705,12/01/2019 00:00:00,2.5
Meghalaya,NER,25.57049217,91.8800142,12/01/2019 00:00:00,6.0
Mizoram,NER,23.71039899,92.72001461,12/01/2019 00:00:00,1.8
Nagaland,NER,25.6669979,94.11657019,12/01/2019 00:00:00,2.0
Tripura,NER,23.83540428,91.27999914,12/01/2019 00:00:00,4.6
Punjab,NR,31.51997398,75.98000281,13/01/2019 00:00:00,135.8
Haryana,NR,28.45000633,77.01999101,13/01/2019 00:00:00,141.4
Rajasthan,NR,26.44999921,74.63998124,13/01/2019 00:00:00,186.9
Delhi,NR,28.6699929,77.23000403,13/01/2019 00:00:00,89.4
UP,NR,27.59998069,78.05000565,13/01/2019 00:00:00,310.0
Uttarakhand,NR,30.32040895,78.05000565,13/01/2019 00:00:00,36.7
HP,NR,31.10002545,77.16659704,13/01/2019 00:00:00,26.4
